For those who stay until the end of October the fee rises to £40,000.|Тем, кто продержится до конца октября, уже выплачивают 40 тысяч.|human
Maybe it is that game management.|Может быть, это такое управление игрой.|human
I'm really excited to see him go out there, starting a game and seeing how he manages the whole situation.|Я очень рад посмотреть, как он выйдет туда, начиная игру, и увидеть, как он справится со всей этой ситуацией.|human
It is such a big game.|Это такая важная игра.|human
Japan are our biggest threat I feel in the rest of the group.|Япония является для нас самой большой угрозой, как мне кажется, из всей группы.|human
One hundred dolphins die on African beach|Сотня дельфинов погибла на берегу Африки|human
More than 100 dolphins have mysteriously died on a beach in the Cape Verde islands off West Africa.|Более 100 дельфинов погибли по неизвестной причине на пляже островов Кабо-Верде в западной Африке.|human
Local media report that around 200 melon-headed dolphins were found on a beach on Boa Vista island on Tuesday.|По сообщению местных СМИ, около 200 широкомордых дельфинов были найдены на пляже острова Боа Виста во вторник.|human
Officials, residents and tourists managed to drag some of them back out to sea, but many returned.|Чиновники, местные жители и туристы смогли оттащить некоторых из них обратно в море, но многие вернулись назад.|human
Bulldozers buried 136 dead dolphins.|Бульдозеры похоронили 136 мертвых дельфинов.|human
BIOS Cape Verde, a volunteer environmental association in the former Portuguese colony, said on its Facebook page on Friday it took samples from 50 dolphins and four others were placed in deep freeze by the local council.|BIOS Cape Verde, волонтерская экологическая ассоциация в бывшей португальской колонии сообщила в пятницу на своей странице в Facebook, что они взяли пробы у 50 дельфинов, а еще четыре были отправлены на глубокую заморозку местными властями.|human
This opportunity came about and I couldn't pass it up.|И тут появилась такая возможность, и я поняла, что не могу ее упустить.|human
Senegal helicopter crashes in C. African Republic, killing 3|Сенегальский вертолет потерпел крушение в Центральноафриканской республике, 3 человека погибли|human
Three Senegalese soldiers died after their helicopter crashed in Central African Republic on Friday, Senegal's armed forces said.|Трое сенегальских солдат погибло в результате крушения вертолета в Центральноафриканской республике в пятницу, сообщают Вооруженные силы Сенегала.|human
The air force helicopter was returning from an operational mission with the United Nations peacekeeping force when it crashed in the town of Bouar.|Вертолет ВВС потерпел крушение в городе Буар, возвращаясь с миссии в сотрудничестве с миротворческими силами ООН.|human
Another person was badly wounded.|Еще один человек получил серьезные ранения.|human
The U.N. mission said it appeared that poor atmospheric conditions had made a proper landing impossible.|Как сообщает миссия ООН, по-видимому, успешное приземление было невозможно из-за плохих атмосферных условий.|human
The Senegalese were in contact with the U.N. to evacuate the wounded soldier and repatriate the bodies.|Сенегальцы обсудили с ООН эвакуацию раненого солдата и возвращение тел погибших на родину.|human
The helicopter is part of a Senegalese fleet working in Central African Republic, where large-scale violence began in 2013.|Это вертолет входит в сенегальский флот, оперирующий в Центральноафриканской республике, где с 2013 г. начались крупномасштабные вспышки насилия.|human
Matt de Grood shouldn't be punished because of schizophrenia stigma|Матт де Гроод должен быть освобожден от наказания из-за стигмы, связанной с шизофренией|human
In 2016, Matthew de Grood, the man who killed five people at a house party in Calgary, was found to be not criminally responsible for his actions.|В 2016 году Матт де Гроод, убивший пятерых человек на домашней вечеринке в Калгари, был освобожден от уголовной ответственности за свои действия.|human
Now, in 2019, there is a hearing to determine whether or not he should be allowed more freedoms, such as unsupervised outings.|Теперь, в 2019 году, суд должен определить, стоит ли предоставить ему больше свобод, например, разрешить прогулки без присмотра.|human
The decision won't come for a few more weeks, so in the meantime we're left to wonder whether or not this is a good idea.|Решение будет опубликовано только через несколько недель, а пока нам остается задаваться вопросом, хороша ли эта идея.|human
There are two sides to this: one citing his violent behaviour in the past, calling to prevent it from happening again, and the other side which believes in the power of change and rehabilitation.|В этом вопросе есть две точки зрения: одни ссылаются на жестокое поведение в прошлом и призывают предотвратить его в будущем, другие верят в силу перемен и возможность выздоровления.|human
De Grood did stab and kill five people during a psychotic break.|Де Гроод действительно зарезал пятерых человек в момент прихотического срыва.|human
It was a violent and unpredictable attack.|Это было жестокое и внезапное нападение.|human
He suffers from schizophrenia, which is why he was found not criminally responsible, but has since been seeing a psychiatrist and taking his medication.|Он страдает от шизофрении, поэтому его и освободили от уголовной ответственности, но с тех пор он посещал психиатра и принимал лекарства.|human
His psychiatrist, Dr. Santoch Rai, has said in front of the review board that "if Matthew de Grood were to commit another offence, it would be severe."|Его психиатр, д-р Сантос Рай, сказал апелляционной комиссии, что "если Мэтью де Гроод соберется совершить еще одно нападение, это будет тяжкое преступление".|human
Despite his perceived improvement, there is still risk of re-offense.|Несмотря на кажущееся улучшение, риск повторного преступления все еще существует.|human
But is this reason enough to remain afraid?|Но является ли это достаточной причиной для опасений?|human
Is it enough to keep de Grood locked up?|Является ли это достаточным основанием для того, чтобы держать де Гроода взаперти?|human
I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear.|Я считаю, этот страх во многом связан со стигмой, которая окружает людей с психическими заболеваниями, особенно с шизофренией.|human
Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders.|Некоторые психические заболевания, такие как расстройства настроения или повышенная тревожность, сейчас стигматизируются меньше.|human
But others, including schizophrenia, remain highly stigmatized.|Однако другие, включая шизофрению, до сих пор сильно стигматизированы.|human
This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people.|Во многом на это повлияли представления о шизофрениках как об опасных людях с голосами в голове, которые приказывают им убивать людей.|human
That was the case in this situation, but these instances are rare, and that's perhaps why we remember them so well when they occur.|Как раз это произошло в этой ситуации, но такие случаи редки, наверное поэтому мы так хорошо запоминаем, когда они происходят.|human
In fact, the majority of schizophrenic individuals are nonviolent, and are more likely to be the victims rather than the perpetrators of crime or violence.|На самом деле, большинство шизофреников не агрессивны и чаще становятся жертвами, чем преступниками и насильниками.|human
I don't believe de Grood should ever be unsupervised permanently.|Я не думаю, что де Гроода можно оставить без постоянного наблюдения.|human
Arguing that he or other mentally ill people remain institutionalized unless absolutely necessary is a form of segregation.|Утверждение о том, что его или других людей с психическими заболеваниями нужно помещать в специальные учреждения, если только нет крайней необходимости в обратном, - это форма сегрегации.|human
It perpetuates the idea that mentally ill people, those with schizophrenia in particular, cannot ever mesh with society; thus continuing the stigma and perpetuating the idea that they are dangerous criminals.|Оно подкрепляет идею о том, что психически больные люди, особенно страдающие шизофренией, не могут быть частью общества, таким образом поддерживая стигматизацию и подкрепляя идею о том, что они являются опасными преступниками.|human
Now, Scharf becomes the first of Dimon's proteges to take over a direct competitor to J.P. Morgan Chase, the U.S. financial services giant and the world's most valuable bank by market capitalization.|Теперь Шарф стал первым протеже Даймона, возглавившим прямого конкурента J.P. Morgan Chase — американского гиганта финансовых услуг и самого дорогостоящего банка в мире по рыночной капитализации.|human
He has great experience, and high character.|Он обладает огромным опытом и прекрасными личными качествами.|human
David Attenborough to narrate 'Life in Colour' for BBC, Netflix|Дэвид Аттенборо выступит рассказчиком в сериале BBC и Netflix «Жизнь в цвете»|human
The BBC and Netflix are teaming up for the first time to co-produce Life in Colour, a new three-part series.|BBC и Netflix впервые объединили усилия для совместного производства «Жизни в цвете», нового сериала из трех частей.|human
The BBC said in a press release Thursday that Life in Color explores the vital role color plays in animal interactions.|В выпущенном в четверг пресс-релизе BBC говорится, что «Жизнь в цвете» исследует важную роль, которую играет цвет при взаимодействии животных.|human
Filmmakers will use new cameras built specifically for the show to unveil a world of color normally invisible to human eyes.|Съемочная группа будет использовать новые камеры, созданные специально для фильма, чтобы раскрыть мир цвета, обычно невидимый человеческому глазу.|human
Any series authored by Sir David is very special and this promises to be exceptional.|Любой сериал, создателем которого является Сэр Дэвид, очень особенный, и этот обещает стать необыкновенным.|human
I am looking forward to seeing the combination of innovative photography and rich analysis to explore the role color plays in animals' lives," BBC Two controller Patrick Holland said.|Я с нетерпением ожидаю увидеть сочетание инновационной операторской работы и глубокого анализа по исследованию роли цвета в жизни животных», – заявил руководитель телеканала BBC Two Патрик Холланд.|human
Deploying innovative new technology to reveal our world in new ways, I'm thrilled that we are working with Sir David on a series which promises spectacle and insight," BBC head of natural history and specialist factual commissioning Tom McDonald added.|Применяя инновационные новые технологии, чтобы показать наш мир по-новому, я очень рад, что мы работаем с Сэром Дэвидом над сериалом, который обещает зрелищность и проницательность», – добавил руководитель отдела запуска программ по естественной истории и специальных фактических программ на BBC Том Макдональд.|human
Filming will take place across the globe, with particular emphasis on Australia.|Съемки будут проходить по всему миру, с особым акцентом на Австралии.|human
The series will debut on BBC Two and Netflix in early 2021.|Сериал выйдет на BBC Two и Netflix в начале 2021 г.|human
Attenborough, 93, has narrated several BBC series, including the Life documentaries and Planet Earth, and the Netflix series Our Planet.|Аттенборо, 93, выступал рассказчиком в нескольких сериалах BBC, включая серию документальных фильмов «Жизнь» и «Планета Земля», а также в сериале Netflix «Наша планета».|human
The action was taken against the singer after a video, where Rabi Pirzada was seen threatening Prime Minister Narendra Modi with snakes, went viral on social media.|Жалоба на певца была подана после того, как в социальных сетях распространилось видео, на котором Раби Пирзада угрожал премьер-министру Наренда Моди змеями.|human
Sudan: War Crimes Victims Accuse French Bank of Complicity in Regime Abuses|Судан: жертвы военных преступлений обвиняют французский банк в соучастии в нарушениях со стороны режима|human
Sudanese victims of war crimes Thursday filed a criminal complaint against French bank BNP Paribas for alleged complicity in human rights abuses committed by Sudan's regime.|Суданские жертвы военных преступлений в четверг подали в суд заявление о возбуждении уголовного дела в отношении французского банка BNP Paribas в связи с предполагаемым соучастием в ущемлении суданским режимом прав человека.|human
BNP Paribas has been targeted before over its dealings with Sudan.|BNP Paribas и ранее подвергался критике из-за деловых отношений с Суданом.|human
In 2015, a U.S. judge sentenced the bank to five years of probation and fined it nearly $9 billion after it pleaded guilty to violating United States sanctions against not only Sudan, but also Iran and Cuba.|В 2015 г. американский суд приговорил банк к пяти годам пробации и штрафу почти в девять миллиардов долларов после того, как тот признал свою вину в нарушении санкций, введенных Соединенными Штатами против Судана, Ирана и Кубы.|human
This case is different: Rights activists say it's the first effort to hold the bank criminally responsible for alleged complicity in crimes against humanity, genocide and torture in Sudan between 2002-2008.|Сейчас речь идет о другом деле: по словам правозащитников, это первая попытка привлечь банк к уголовной ответственности за вменяемое ему в вину соучастие в преступлениях против человечества, геноциде и пытках в Судане в период с 2002 по 2008 гг.|human
It says BNP was essentially acting as the de-facto central bank for the regime of former president Omar al-Bashir during that period, by allowing it access to financial markets.|Как следует из дела, во время этого периода BNP фактически оперировал как центральный банк режима бывшего президента Омара аль-Башира, обеспечивая ему доступ к финансовым рынкам.|human
"These crimes do not occur in a vacuum and no funds," said Cynthia Tai, executive director of U.S.-based nonprofit Project Expedite Justice, one of the rights groups supporting the Sudanese victims in the case.|«Подобные преступления происходят не в вакууме при отсутствии финансов,» — заявила Синтия Тай, исполнительный директор американской некоммерческой организации Project Expedite Justice, — одной из правозащитных организаций, оказывающих поддержку суданским жертвам в рамках этого уголовного дела.|human
"They occur because people can buy weapons, they can buy trucks and because people can buy the tools they need to commit these grave violations," she added.|«Они происходят, потому что люди могут купить оружие, купить грузовики, потому что люди могут купить инструменты, необходимые для совершения этих серьезнейших нарушений,» — добавила она.|human
The International Criminal Court issued arrest warrants against Bashir on war crimes and genocide charges in Sudan's Darfur region but has been unable to prosecute him in The Hague.|Международный уголовный суд выдал ордеры на арест Башира по обвинениям в военных преступлениях и геноциде в суданском регионе Дарфур, но не сумел привлечь его к ответственности в Гааге.|human
The ousted leader is on trial in his home country on corruption charges.|Отстраненный от власти президент находится на скамье подсудимых у себя на родине по обвинениям в коррупции.|human
"We can take them to court, and I think that will be a first step," said Abdalhaleim Hassan, one of the Sudanese filing the complaint.|«Мы можем подать на них в суд, и я думаю, это станет первым шагом,» — заявил Абдалхалейм Хассан, один из суданцев, подавших заявление.|human
He says the government-backed Janjaweed militia attacked his village in Darfur numerous times, killing people including relatives.|Он утверждает, что проправительственное ополчение Джанджавид многократно совершало нападение на его деревню в Дарфуре, убивая людей, в том числе его родственников.|human
Later, as a student rights activist, he says he was imprisoned and tortured.|По его словам, позднее, будучи активистом по защите прав студентов, он был заключен в тюрьму и подвергался пыткам.|human
He now lives in the United States.|Сейчас он живет в США.|human
My journey to the justice will be long.|Мой путь к справедливости будет долгим.|human
Not only the bank, but to bring the real criminals to the court," he said.|Привлечь к суду не только банк, но и истинных преступников,» — говорит он.|human
BNP could not be reached for comment Thursday afternoon.|В четверг вечером BNP был недоступен для комментария.|human
But a spokesperson told the AFP news agency that it was not aware a criminal probe had been opened and did not comment on judicial processes.|Однако представитель банка сообщил новостному агентству AFP, что банку неизвестно о возбужденном в отношении него уголовном расследовании, и не стал комментировать судебные процедуры.|human
This is not the first effort to hold French businesses responsible for rights abuses committed overseas.|Это не первая попытка привлечь французские компании к ответственности за нарушения прав человека, совершенные за рубежом.|human
Authorities here are looking into whether Lafarge cement manufacturer paid the Islamic State group to keep its factories running in areas it controlled in Syria.|Местные власти в настоящий момент выясняют, заплатила ли компания по производству бетона Lafarge группировке Исламского государства за возможность продолжать работу своих фабрик на подконтрольных ИГ территориях в Сирии.|human
Anjali Sualy is a lawyer for the Paris-based International Federation for Human Rights, which is also supporting the Sudanese victims.|Анжали Суали — юрист парижской Международной федерации за права человека, которая также оказывает поддержку суданским жертвам.|human
"We hope that by taking the step that we have today, we've put these companies on notice that they need to be aware that these types of business deals are risky," Sualy said.|«Мы надеемся, что, сделав сегодня этот шаг, мы предупредили эти компании о том, что они должны понимать, что подобные деловые сделки рискованны,» — отметил Суали.|human
When riders search for a destination, they will see travel options listed in order of price, including public transit as well as electric bikes and scooters.|При поиске маршрута, пассажиры увидят варианты поездки, упорядоченные по цене, включая общественный транспорт, а также электрическое велосипеды и самокаты.|human
Uber Eats will also open more "digital-only restaurants" - businesses with no brick-and-mortar outlet where customers can only order food from on the app.|Uber Eats также откроет больше “интернет-ресторанов”, заведений без собственных стен, в которых клиенты могут только заказать еду через приложение.|human
Uber, its competitor Lyft, and other gig economy startups have announced a plan to fight the bill with a 2020 ballot measure.|Uber, его конкурент Lyft и другие стартапы, работающие на основе фриланса, объявили о намерении бороться с законом, предложив поправки на референдум.|human
In addition to platform integrations and Uber Eats changes, Uber made a number of safety updates to the app.|Помимо интеграции платформы и изменений в Uber Eats, Uber выпустил несколько обновлений для приложения, обеспечивающих безопасность.|human
Riders will now use a four-digit PIN to verify they are entering the correct car.|Теперь пассажиры будут вводить четырехзначный ПИН, чтобы подтвердить, что они сели в правильную машину.|human
The changes come after Uber was sued for $10m in April by a woman who was sexually assaulted by her driver.|Перемены происходят после того как женщина, пострадавшая от сексуальных домогательств водителя, предъявила Uber судебный иск на 10 миллионов долларов.|human
A number of women announced last week they were bringing lawsuits against Lyft over drivers sexually assaulting them.|На прошлой неделе несколько женщин объявили о том, что он подают иски к Lyft из-за сексуальных домогательств водителей.|human
A CNN report last year found at least 103 Uber drivers in the US had been accused of sexually assaulting or abusing their passengers over a period of four years.|Прошлогодний доклад CNN обнаружил, что за последние 4 года 103 водителя Uber в США обвинялись в нападении на пассажиров или сексуальном насилии над ними.|human
Cardiff council backs plan to give new streets Welsh names|Городской совет Кардиффа поддерживает план называть новые улицы по-валлийски|human
Language campaigners have welcomed a decision by council leaders in Cardiff to support a plan to give Welsh-only names to new streets in the capital.|Защитники языка приветствовали решение лидеров совета в Кардиффе, которые поддержали идею называть новые улицы столицы только по-валлийски.|human
Cardiff council's cabinet is hoping the move will eventually mean there are as many Welsh street names as English ones in the city and bolster the language.|Администрация Кардиффа надеется, что в результате этого решения валлийских названий в городе станет столько же, сколько английских, что будет способствовать развитию языка.|human
The council will also make sure existing signs on city centre streets will be in Welsh and English when they are upgraded.|Администрация также позаботится о том, чтобы после замены все существующие таблички на центральных улицах города были на валлийском и английском.|human
However, existing street names in residential communities and suburbs of Cardiff will retain their current names.|Тем не менее, в жилых районах и пригородах Кардиффа улицы сохранят свои теперешние названия.|human
The policy, due to be put before the full council for final approval next month, says new streets should be given a Welsh name "consistent with the local heritage and history of the area."|Документ, который будет представлен полному составу администрации для окончательного утверждения в следующем месяце, говорит, что новые улицы нужно называть “в соответствии с местной культурой и историей”.|human
It says the names of specific individuals may be used where there is a historical or legacy link.|В нем говорится, что можно использовать имена конкретных личностей, если они связаны с культурой и историей.|human
More than 60% of people who took part in a consultation agreed with the proposal to work towards parity between Welsh street names and English ones, with the majority feeling the policy would have a positive effect on the Welsh language.|Более 60% людей, принявших участие в консультации, согласились с предложением уравнять названия на английском и валлийском, а большинство участников считает, что это положительно повлияет на состояние валлийского языка.|human
The Welsh Language Commissioner, Aled Roberts, said: "I congratulate Cardiff council on their new street naming policy."|Уполномоченный по развитию валлийского языка Алед Робертс сказал: “Я поздравляю Кардифф с новой политикой называния улиц”.|human
Place names can say a lot about an area's history and heritage; and this policy in the capital shows the council, and indeed, the country's commitment to promote the Welsh language.|Названия мест могут многое сказать об истории и культуре местности, и такие правила в столице говорят о стремлении администрации и, конечно, властей страны в целом развивать валлийский язык.|human
Mabli Siriol from the Welsh language campaign group Cymdeithas yr Iaith said: "We welcome the council's intention to name every new street in Welsh only."|Мабли Сириол из общественного движения в поддержку валлийского языка Cymdeithas yr Iaith сказала: “Мы приветствуем намерение администрации называть новые улицы только по-валлийски”.|human
It would give a boost to the status and use of the language in the city.|Это даст толчок к повышению статуса и использованию языка в городе.|human
After all, the Welsh language belongs to everyone in Cardiff.|В конце концов, валлийский язык принадлежит всем жителям Кардиффа.|human
Caro Wild, the cabinet member for strategic planning and transport, said: "Ensuring that the names of new streets in the city reflect local heritage and the Welsh language will assist our vision of developing Cardiff as a truly bilingual capital city.|Каро Уайлд, ответственный за стратегическое планирование и транспорт в администрации города, сказал: “То, что мы решили называть новые улицы города в соответствии с местной культурой на валлийском языке, поможет нам развивать Кардифф как по-настоящему двуязычный город.|human
Adopting this policy will also see us joining other enlightened capitals around the world, like Wellington in New Zealand, who are embracing their own heritage by promoting the Māori language until it has parity with English.|Кроме того, благодаря принятию этой стратегии мы сможем присоединиться к просвещенным столицам мира, таким как Веллингтон в Новой Зеландии, которые принимают собственную культуру и развивают язык маори, чтобы он был наравне с английским.|human
It's very encouraging that the majority of people who took part in the consultation are in favour of these proposals."|То, что большинство участников консультации поддержали эти предложения, очень воодушевляет."|human
The Welsh language is intrinsically linked with the history of Cardiff over the centuries.|Валлийский язык тесно связан с многовековой историей Кардиффа.|human
In search of glory, Yemen athlete drowns in Med trying to reach Europe|В поисках славы, спортсмен из Йемена утонул в Средиземном море, пытаясь достичь Европы|human
Slim and with a tight-trimmed beard, Yemeni Kung Fu champion Hilal al-Haj dreamed of finding athletic glory in Europe, but a risky sea journey to get there ended in tragedy.|Стройный, с коротко подстриженной бородой, чемпион Йемена по ушу Хилал Аль-Хадж мечтал о спортивной славе в Европе, но рискованное путешествие через море, чтобы попасть туда, окончилось трагедией.|human
His family in Yemen's rebel-held capital Sanaa was expected on Friday to bury the 2011 Yemen Kung Fu champion, who had also racked up a series of medals from Asian and Arab championships.|Его семья в Сане, столице Йемена, контролируемой повстанцами, похоронит чемпиона Йемена по ушу 2013 года, который также завоевал несколько медалей на чемпионатах Азии и арабского мира.|human
"He was looking for a country that would appreciate his talent and recognise his value as a human being and athlete," his older brother Saeed said.|“Он искал страну, которая оценит его талант и признает его заслуги как человека и спортсмена”, - сказал старший брат Саид.|human
"He loved life, he detested war," he told AFP by phone.|“Он любил жизнь и ненавидел войну”, - сказал он AFP по телефону.|human
Saeed saw his brother just hours before he headed to Morocco, where on September 16 he attempted the dangerous swim to the Spanish enclave.|Саид видел своего брата за несколько часов до того, как тот отправился в Марокко, откуда он предпринял опасный заплыв к испанскому анклаву 16 сентября.|human
The athlete was proud of his heritage, his brother said, but competing in a country pushed to the brink of famine by a years-long war between the government and rebels had brought challenges.|Спортсмен гордился своим происхождением, говорит его брат, но принимать участие в соревнованиях в стране, которую оказалась на грани голода в результате многолетней войны между правительством и повстанцами, сложно.|human
Yemen was rife with "contempt" and "injustice," Saeed said, adding his brother was treated unfairly by the Huthi rebels who took over the capital in 2014 despite taking no side in Yemen's conflict.|Йемен переполнен “неприязнью” и “несправедливостью”, сказал Саид, добавив, что повстанцы хуситы, захватившие столицу в 2014, обращались с его братом несправедливо, несмотря на то что он не занимал ни одной из сторон йеменского конфликта.|human
The answer was painful.|Реакция была разочаровывающей.|human
"They told him that no one had asked of him to raise the flag of Yemen," Saeed said.|“Они сказали, что никто не просил его поднимать флаг Йемена”, - сказал Саид.|human
Years of war have made leaving and entering Yemen nearly impossible, but Haj faced even greater difficulties when attempting to cross over the heavily fortified land barrier surrounding Melilla, on the northern coast of Morocco.|Из-за многолетней войны, покинуть или въехать в Йемен стало практически невозможно, но Хадж столкнулся с еще большими трудностями, пытаясь пересечь укрепительный рубеж вокруг Мелильи, на северном побережье Марокко.|human
After two months of failed attempts, he decided to swim for it, his brother said.|После двух месяцев безуспешных попыток, он решил добраться до него вплавь.|human
"It was a short distance.|“Расстояние было небольшим.|human
People before him have tried and succeeded," he told AFP.|Люди до него пробовали и у них получалось”, сказал он AFP.|human
My brother was athletic, it seemed like it would be easy, but tragedy struck and he was swept away by a powerful wave.|Мой брат был спортивным, кажется, это должно было быть просто, но случилась трагедия и его унесло мощной волной.|human
A friend accompanying Haj on the swim who managed to make it safely to the Spanish enclave said the journey was "extremely difficult."|Друг, который сопровождал Хаджа в заплыве и смог добраться до испанского анклава, сказал, что путь был “чрезвычайно трудный”.|human
"The waves were so high," the friend, who asked to remain anonymous, told AFP.|“Волны были такими высокими”, - рассказал AFP друг, пожелавший остаться анонимным.|human
When (Haj) screamed, I thought it was because he was tired.|Когда Хадж закричал, я думал, это от усталости.|human
Haj's body was recovered and flown into Yemen's southern city of Aden on Thursday.|Тело Хаджа было обнаружено, его вынесло к городу Аден на юге Йемена в четверг.|human
It was expected to be carried on to the capital in an ambulance, Saeed said.|Ожидалось, что его отвезут далее в столицу на машине скорой помощи, сказал Саид.|human
Sanaa airport has been under blockade since 2017 by a Saudi-led military coalition backing the government against the Iran-aligned Huthis.|Аэропорт Саны с 2017 года блокирован саудовской военной коалицией, поддерживающей правительство в борьбе с хуситами, союзниками Ирана.|human
Haj's father and younger brother are expected to arrive from Saudi Arabia to attend the funeral.|Отец и младший брат Хаджа, как ожидается, приедут из Саудовской Аравии, чтобы присутствовать на похоронах.|human
"He always said that we can't reach our sports goals by staying in Yemen," Haj's friend Jamal el-Sabri told AFP.|“Он всегда говорил, что мы не сможем достичь наших спортивных целей, если останемся в Йемене”, - сказал AFP друг Хаджа Джамал эль-Сабри.|human
The failure of the sports institutions, corruption and nepotism destroy sports and talent.|Упадок спортивных институтов, коррупция и кумовство уничтожают спорт и таланты.|human
Sir Bani Yas Church and Monastery: UAE's oldest Christian site opens to the public|Церковь и монастырь Сир Бани Яс: самые старые христианские памятники в ОАЭ открыты для публики|human
Located around 200 kilometers from the UAE's capital Abu Dhabi, on the eastern coast of Sir Bani Yas Island, lies the country's oldest Christian site.|В 200 километрах от столицы ОАЭ Абу Даби, на восточном берегу острова Сир Бани Яс, расположен самый древний христианский памятник в стране.|human
Originally discovered in 1992, the archeological treasure has recently opened to the public.|Впервые открытое в 1992 году археологическое сокровище недавно стало доступно для публики.|human
Its excavation has revealed a complex history of the people who lived there.|Раскопки обнаружили сложную историю жившего здесь народа.|human
The archaeology here goes back 8,000 years.|Возраст археологических находок тут доходит до 8000 лет.|human
In the early nineties, the rocky infrastructure was thought to have no religious association.|В начале девяностых полагали, что каменные постройки здесь не связаны ни с какой религией.|human
After further investigation, however, Christian crosses were unearthed, as was the architectural framework of a church and monastery.|Но дальнейшие исследования показали, что под ними находятся христианские кресты, а сама структура принадлежит церкви или монастырю.|human
Decades later, a 2014 excavation team revealed further structures in the west, southwest, and northern area of the site.|Спустя десятилетия, в 2014 году команда археологов обнаружила постройки на западе, северо-западе монастыря.|human
Architects also found items which implied that monks living in the monastery kept cattle and made good use of the sea for food.|Археологи также нашли предметы, которые подтверждают, что монахи, жившие в монастыре, держали скот и добывали пищу в море.|human
While other objects suggested they traded with their Muslim neighbours in the Arabian Gulf in the 7th and 8th century.|Другие объекты говорят о том, что они торговали с мусульманскими соседями в Арабском заливе в 7 и 8 веках.|human
Today, a decorative frieze, which is believed to have framed the doorway of the holy site, is on display at Abu Dhabi's Louvre Museum.|Сегодня декоративный фриз, котрый, как предполагается, обрамлял вход в святое место, находятся на экспозиции в музее Лувр в Абу Даби.|human
"At least for 100 years, there was a Christian community here and Christians and Muslims were living very peacefully side by side," says Magee, adding that the monastery is one of the few historic Christian sites in the Gulf.|“По крайней мере в течение 100 лет здесь была христианская община, и христиане жили в мирном соседстве с мусульманами”, - говорит Магии, добавив, что монастырь -один из немногих исторических христианских мест в заливе.|human
Other similar plots in the region include Saudi Arabia's Eastern province of Jubail and two churches on Kuwait's Failaka Island.|Среди похожих мест в регионе -- восточная провинция Эль-Джубайль в Саудовской Аравии и две церкви на острове Файлака в Кувейте.|human
U.S. businesses may be showing some signs of weakness, but that shouldn't scare you away from buying the stock of two office furniture companies, CNBC's Jim Cramer said Thursday.|Американские компании могут демонстрировать некоторые признаки слабости, но это не должно отпугнуть вас от приобретения акций двух компаний по производству офисной мебели, заявил ведущий CNBC Джим Крамер во вторник.|human
Not only are Herman Miller and Steelcase are defying conventional wisdom, but they also have room to continue rising, the "Mad Money" host contended.|Herman Miller и Steelcase не только опровергают общепринятые представления, но и обладают потенциалом для дальнейшего роста, утверждает ведущий программы «Бешеные деньги».|human
Herman Miller, a Zeeland, Michigan-based maker of high-end office furniture, has seen its stock rise 52% for the year, Cramer noted.|В течение года акции производителя элитной офисной мебели Herman Miller со штаб-квартирой в г. Зиланд, штат Мичиган, выросли на 52%, отметил Крамер.|human
It closed at $45.98 on Thursday.|В четверг котировка закрытия составила $45,98.|human
Steelcase, which is based in Grand Rapids, Michigan, and is a leading supplier of products for the office environment, is up 24%, Cramer said.|Акции Steelcase, ведущего поставщика товаров для офиса со штаб-квартирой в г. Гранд-Рапидс, штат Мичиган, выросли на 24%, сообщил Крамер.|human
Its stock was at $18.40 at Thursday's close.|Котировка закрытия акций компании в четверг составила $18,40.|human
Cramer said there are two main reasons why the companies are having success, despite recession fears and the U.S.-China trade war.|По словам Крамера, эти компании успешны вопреки опасениям по поводу рецессии и торговой войне между США и Китаем по двум причинам.|human
The first is the tight labor market.|Первая – это высокий спрос на рабочую силу.|human
Compared with other business expenditures, "fancy office furniture is tied much more, much more, tightly to the labor market," Cramer explained.|Как объясняет Крамер, по сравнению с другими предпринимательскими издержками «элегантная офисная мебель намного, намного сильнее связана с рынком труда».|human
The second factor, Cramer said, is better execution and falling commodity prices, which has allowed the furniture makers to be hurt less by tariffs.|По словам Крамера, второй фактор – это тщательное исполнение и падение цен на ресурсы, благодаря чему производители мебели испытали меньшее влияние тарифов.|human
Both companies do a lot of sourcing from China, Cramer said.|Обе компании в значительной степени закупаются в Китае, сообщил Крамер.|human
"In fact, in a perverse way, the tariffs might be helping, because they're contributing to the worldwide slowdown that's driving down commodity prices, giving Herman Miller and Steelcase lower raw costs," Cramer said.|«На самом деле, как ни странно, тарифы даже могут оказаться полезны, поскольку они способствуют мировому спаду, из-за которого падают и цены на ресурсы, благодаря чему Herman Miller и Steelcase приобретают сырье по более низким ценам», – подчеркнул Крамер.|human
Perhaps the thing Cramer likes most about the two companies?|Что в этих двух компаниях Крамеру нравится, наверное, больше всего?|human
They are still "absurdly cheap, selling for about 12 times next year's earning estimates," Cramer said.|Они по-прежнему «дешевы до абсурда и продаются по цене примерно в 12 раз ниже оценки их прибыли в следующем году,» – отметил Крамер.|human
"In a market that's increasingly wary of high-flying stocks with nosebleed valuations, these two value plays could be just what the doctor ordered," Cramer said.|«На рынке, где высоко котирующиеся акции с непомерными оценками вызывают все больше подозрений, эти два предложения по выгодной цене могут оказаться ровно тем, что доктор прописал», – заявил Крамер.|human
