Government Retires 15 More Senior Tax Officials On Graft Charges|Vláda poslala do důchodu dalších 15 vysokých daňových úředníků podezřelých z korupce|human
Their study, which will be published in Nature Communications on Friday, September 27, also shows that viruses that are part of the same structural lineage, based on the protein that they're composed of, adopt consistent icosahedral capsid layouts, providing a new approach to study virus evolution.|Jejich studie, která bude zveřejněna v časopise Nature Communications v pátek 27. září, také poukazuje na to, že viry, které jsou součástí stejné strukturní linie založené na proteinu, ze kterého jsou složeny, si přisvojují konzistentní rozložení ikosahedrálních kapsid, čímž umožňují nový přístup ke studiu vývoje virů.|human
Biotech applications|Aplikace v biotechnologiích|human
It will also provide a guide to engineer new molecular containers for nanotech and biotech applications, and it will help scientists to identify specific strategies to target the assembly of proteins in the capsid. This can eventually lead to a more systematic approach to developing antiviral vaccines.|Poskytnou také návod pro vývoj nových molekulárních nádob pro aplikace v nanotechnologiích a biotechnologiích a pomůžou vědcům identifikovat konkrétní strategie zaměřené na sestavení proteinů v kapsidě. To může nakonec vést k systematičtějšímu přístupu při vývoji antivirových vakcín.|human
"We can use this discovery to target both the assembly and stability of the capsid, to either prevent the formation of the virus when it infects the host cell, or break it apart after it's formed," Luque said. "This could facilitate the characterization and identification of antiviral targets for viruses sharing the same icosahedral layout."|„Díky tomuto objevu se můžeme zaměřit na složení i stabilitu kapsidy, abychom buď zabránili vytváření viru, když infikuje hostitelskou buňku, nebo ji zničili poté, co už se vytvoří,“ řekl Luque. „Mohlo by to usnadnit charakteristiku a identifikaci zaměření proti virům, které sdílejí stejnou ikosahedrální dispozici.“|human
This new framework accommodates viruses that were previously outliers, provides new predictions of viral capsid architectures, and has identified common geometrical patterns among distant evolutionary related viruses that infect everyone from humans to bacteria.|Tento nový rámec zahrnuje viry, kterým se dříve věnovalo méně pozornosti, poskytuje nové předpoklady virových kapsidových architektur a identifikuje společné geometrické vzorce mezi evolučně vzdálenými viry, které infikují všechny živé struktury od lidí až po bakterie.|human
Twarock said the new blueprints also provide "a new perspective on viral evolution, suggesting novel routes in which larger and more complex viruses may have evolved from simple ones at evolutionary timescales."|Twarock řekl, že nová zdokumentování poskytují také „nový pohled na evoluci virů, naznačují nové způsoby, kterými se větší a složitější viry mohou vyvíjet z těch jednoduchých v evolučním časovém měřítku“.|human
Architectural applications|Aplikace v architektuře|human
The geometries could be also used in new architectural designs in buildings and construction.|Geometrii virů lze využít také v nových architektonických návrzích budov a staveb.|human
Since the 1960s, these viral capsids have been classified using the geometrical framework introduced by structural biologist Donald Caspar and biophysicist Aaron Klug, which were inspired by the geodesic domes designed by the renowned architect R. Buckminster Fuller. However, as molecular imaging techniques have advanced, an increasing number of 3D viral capsid reconstructions that included viruses like Herpes or Zika have fallen out from this classical geometrical framework.|Od 60. let jsou tyto virové kapsidy klasifikovány pomocí geometrického konceptu navrženého strukturálním biologem Donaldem Casparem a biofyzikem Aaronem Klugem, které inspirovaly geodetické kopule navržené renomovaným architektem R. Buckminsterem Fullerem. Ale jak se technologie molekulárního zobrazení vyvíjely, z tohoto klasického geometrického rámce se vyčleňovalo stále více 3D rekonstrukcí virových kapsid, včetně virů herpes a zika.|human
LNG investments hit record in 2019 & the biggest growth is coming from China|Investice do LNG dosáhly v roce 2019 rekordního výsledku a největší nárůst pochází z Číny|human
"This year, 2019 already broke the highest amount of (final investment decisions) for the first time ever, $50 billion," Birol told the LNG Producer-Consumer conference in Tokyo, as quoted by Reuters.|„Letošní rok (2019) překonal nejvyšší částku (konečných investičních rozhodnutí) vůbec poprvé, 50 miliard dolarů,“ řekl Birol na konferenci Producent-spotřebitel v Tokiu, jak uvedla agentura Reuters.|human
Unsurprisingly, the driver of this growth in investments is growing demand for the fuel in Asia, with China still expected to overtake Japan as the world's top importer of LNG.|Není divu, že hnací silou tohoto růstu investic je stoupající poptávka po palivu v Asii, přičemž Čína stále očekává, že předběhne Japonsko jako prvotřídní světový dovozce LNG.|human
"The biggest growth is coming from China. In the next five years, about one-third of global LNG demand will come from China alone," Birol said. He added that in five years, China will become the largest importer of the fuel.|„Největší nárůst přichází z Číny. V příštích pěti letech bude asi jedna třetina celosvětové poptávky po LNG pocházet pouze z Číny,“ uvedl Birol. Dodal, že během pěti let se Čína stane největším dovozcem paliva.|human
As for the growth in investments, there are no surprises there, either. The bulk of these has been made in the United States and Canada.|Pokud jde o růst investic, ani tato oblast nepřinesla nic neočekávaného. K většině z nich došlo ve Spojených státech a Kanadě.|human
In a December 2018 report the Energy Information Administration said it expected the United States" LNG export capacity to double by the end of this year to 8.9 billion cu ft daily. This will make the US the third-largest exporter of LNG in terms of capacity after Qatar and Australia. By 2030, US LNG exports are estimated to reach 17 billion cu ft daily, from some 3 billion cu ft at the start of 2019.|Ve zprávě z prosince 2018 Správa energetických informací uvedla, že očekává zdvojnásobení exportní kapacity LNG ve Spojených státech do konce letošního roku na 8,9 miliardy kubických stop denně. Díky tomu budou USA z hlediska kapacity třetím největším vývozcem LNG po Kataru a Austrálii. Odhaduje se, že do roku 2030 bude vývoz LNG v USA dosahovat 17 miliard kubických stop denně, ze současných 3 miliard kubických stop na začátku roku 2019.|human
In Canada, there is just one LNG project under development right now - LNG Canada - but it could have a final capacity of 28 million tons of the fuel annually. The US$31-billion project is led by Shell, with minority participants including Petronas, PetroChina, Mitsubishi, and Kogas.|V Kanadě se momentálně vyvíjí pouze jeden projekt LNG – LNG Kanada – ale konečná kapacita může být až 28 milionů tun paliva ročně. Projekt v hodnotě 31 miliard USD řídí společnost Shell za účasti menších podniků, jako jsou Petronas, PetroChina, Mitsubishi a Kogas.|human
Meanwhile, Qatar is stepping up its efforts to keep its number-one spot in the global LNG export race. The country has lifted a moratorium on new drilling in its North Field - the world's largest offshore gas field Qatar shares with Iran - aiming to boost export capacity by 43 percent to 11 million tons annually.|Mezitím Katar zintenzivnil své úsilí udržet se na přední pozici v globálním vývozu LNG. Země zrušila moratorium na nové vrty v North Field – největším světovém pobřežním naftovém poli, o které se dělí Katar s Íránem – s cílem zvýšit vývozní kapacitu o 43 % na 11 milionů tun ročně.|human
Leader of Colombia's Los Pelusos crime gang killed, president says|Vůdce kolumbijského zločineckého gangu Los Pelusos byl zabit, oznámil prezident|human
Geomagnetic disturbances are expected from September 27 to September 29, according to the US National Atmospheric and Oceanic Research Agency's Space Weather Forecast Center. Moderate geomagnetic storm (G2) is possible due to high-speed solar wind|Mezi 27. a 29. zářím se očekává geomagnetická bouře, alespoň podle Centra pro předpovědi kosmického počasí amerického Národního úřadu pro výzkum atmosféry a oceánu. Mírnou geomagnetickou bouři (G2) může vyvolat vysokorychlostní sluneční vítr.|human
Geomagnetic storms can affect people with problems in the cardiovascular system. Doctors warn that some people may develop heart cramps, dizziness, headache and lack of concentration. Magnetic disturbances often affect people with mental disorders as well.|Geomagnetické bouře mohou působit na lidi, kteří mají problémy s kardiovaskulárním systémem. Lékaři varují, že u některých lidí mohou nastat srdeční křeče, závratě, bolesti hlavy a nedostatečná koncentrace. Magnetické poruchy často ovlivňují také lidi trpící duševními poruchami.|human
In case of more severe disturbances, there are also fluctuations in the electricity grid. Satellites providing navigation information are also vulnerable.|V případě vážnějších poruch dochází také k výkyvům v elektrické síti. Satelity, které poskytující navigační informace, jsou rovněž zranitelné.|human
Looks like there will be a homecoming of sorts for Spider-Man, now that Disney and Sony have settled their differences.|Vypadá to, že se Spider-Man vrátí domů, když Disney a Sony vyřešily své rozpory.|human
The as yet untitled film will be released on July 16, 2021, and be produced by the Disney-owned Marvel Studios and its president, Kevin Feige, according to a press release sent by both studios.|Dosud nepojmenovaný film bude uveden na trh 16. července 2021 a bude vyroben ve studiu Marvel, které Disney vlastní, a jeho prezidentem Kevinem Feigeem, stojí v tiskové zprávě vydané oběma studii.|human
"I am thrilled that Spidey's journey in the MCU will continue, and I and all of us at Marvel Studios are very excited that we get to keep working on it," Feige said in the release. "Spider-Man is a powerful icon and hero whose story crosses all ages and audiences around the globe."|„Jsem nadšený, že Spideyho cesta do MCU bude pokračovat, a já i všichni ve studiu Marvel jsme velmi vzrušeni, že se na tom budeme podílet,“ uvedl Feige ve zprávě. „Spider-Man je mocná ikona a hrdina, jehož příběh překračuje všechny věkové kategorie a publikum na celém světě.“|human
The Hollywood Reporter notes both sides had good reason to come together. "Far From Home" is Sony's biggest box office hit ever, while Marvel gets to maximize merchandising and keep creative control.|Časopis Hollywood Reporter poznamenal, že obě strany měly dobrý důvod se sejít. „Daleko od domova“ je největším hitem společnosti Sony v oblasti kinematografie, zatímco Marvel se snaží maximalizovat podporu prodeje a udržovat kreativní kontrolu.|human
EU, British negotiators work toward Brexit deal in Belgium|EU, britští vyjednavači v Belgii pracují na dohodě o Brexitu|human
The European Union's chief Brexit negotiator began talks With British officials in Belgium Friday to work toward an agreement, with about a month remaining before the departure deadline.|Hlavní brexitový vyjednavač Evropské unie v pátek v Belgii zahájil rozhovory s představiteli Velké Británie, aby bylo docíleno dohody, neboť do odchodu Británie z EU zbývá zhruba měsíc.|human
Michel Barnier met with Brexit secretary Stephen Barclay in Brussels, who was adamant the Irish "backstop" be stripped from any deal. The backstop, effectively an assurance of a soft border between Ireland and Northern Ireland after Britain leaves, has been perhaps the chief obstacle in negotiations.|Michel Barnier se v Bruselu setkal s ministrem pro Brexit Stephenem Barclayem, který byl neoblomný v otázce irské „pojistky“. Tato pojistka, v podobě účinného ustanovení přibližné hranice mezi Irskem a Severním Irskem po odchodu Británie z EU, byla možná tou hlavní překážkou při jednáních.|human
While Barclay said Britain is committed to finding a deal, he said there isn't much time left.|Zatímco Barclay řekl, že Británie je odhodlána se dohodnout, Barnier prohlásil, že nezbývá moc času.|human
The deadline to leave the EU is Oct. 31, but a new British law prevents Prime Minister Boris Johnson from completing the withdrawal without a trade agreement, or Parliament's approval to leave without one by Oct. 19.|Lhůta pro odchod z EU je do 31. října, ale nový britský zákon brání premiéru Borisu Johnsonovi dokončit odstoupení od Brexitu bez dohody nebo souhlasu Parlamentu s odchodem bez dohody do 19. října.|human
Last week, EU negotiators said they are open to an alternative to the backstop -- but Irish deputy Simon Coveney said Friday London hasn't yet submitted a "serious" proposal.|Minulý týden vyjednavači EU uvedli, že jsou otevřeni irské alternativě – ale irský poslanec Simon Coveney v pátek řekl, že Londýn ještě nepředložil „seriózní“ návrh.|human
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|„Dokud nebudeme mít seriózní návrh, který by byl základem pro jednání, zůstanou zde nadále mezery, které jsou už v této chvíli poměrně velké,“ prohlásil.|human
He added that "time is running out" and "the onus is on the British prime minister and his team" to put serious proposals on the table.|Dodal, že „čas se krátí“ a „je na britském premiérovi a jeho týmu“, aby předložili seriózní návrhy.|human
Johnson's office said Friday there are still "significant obstacles" to a deal.|Johnsonova kancelář v pátek uvedla, že dohodě stále brání „závažné překážky“.|human
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|„Z irského pohledu si samozřejmě myslíme, že odložení Brexitu je výhodnější než Brexit bez dohody,“ řekl Coveney. „Ale myslím, že pro požadavek o odklad by musel být dobrý důvod.“|human
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda Evropské unie Jean-Claude Juncker řekl, že s Barnierem dělají vše, co je v jejich silách, a pokud selžou, bude vina na straně Británie.|human
Irish Prime Minister Leo Varadkar said he's not optimistic about a deal, but urged British leaders to present a plan at a Brexit summit on Oct. 17.|Irský premiér Leo Varadkar uvedl, že není optimistický, co se týče dohody, ale naléhal na britské představitele, aby předložili návrh na summitu o Brexitu 17. října.|human
School strikers around the world march to demand action on climate|Protestující školáci po celém světě pochodují a požadují přijetí opatření proti změnám klimatu|human
Some of the first protests began in New Zealand, where Thunberg saidorganizers estimated 170,000 people marched across the country. There were also marches in cities in Italy, Finland, Nigeria, Austria and India, among other countries.|Některé z prvních protestů začaly na Novém Zélandu, kde Thunbergová řekla organizátorům, že odhaduje pochod 170 000 lidí po celé zemi. Pochody proběhly mimo jiné také ve městech v Itálii, Finsku, Nigérii, Rakousku a Indii.|human
Friday's protest followed a week of climate talks at the United Nations in New York, which included a scathing speech by Thunbergto world leaders reprimanding them for inaction.|Páteční protest následoval po týdenních rozhovorech o klimatických změnách v OSN v New Yorku, v jejichž rámci zazněl také ostrý projev Thunbergové určený světovým vůdcům, ve kterém jim vytýkala nečinnost.|human
"You have stolen my dreams and my childhood with your empty words," she said on Tuesday. "The eyes of all future generations are upon you and if you choose to fail us, I say we will never forgive you."|„Svými prázdnými slovy jste mi ukradli sny a dětství,“ řekla v úterý. „Oči všech budoucích generací se na vás upírají, a pokud nás zklamete, říkám, že vám to nikdy neodpustíme.“|human
Citing a U.N.-backed reportreleased last year, demonstrators are demanding governments implement measures to prevent global temperatures from rising more than 2.7 degrees, which scientists warn result in dire consequences for human life and the planet.|Demonstranti, kteří se odvolávali na zprávu OSN zveřejněnou v loňském roce, požadují, aby vlády provedly opatření, která zabrání zvyšování globální teploty, která se dosud navýšila o více než 2,7 stupně, a vědci varují, že by to mohlo mít vážné důsledky pro životy lidí a naši planetu.|human
Thunberg and the young people she has inspired say they will not stop their weekly classroom walkouts until they see a reduction in greenhouse gas emissions responsible for climate change.|Thunbergová a mladí lidé, které inspirovala, říkají, že nepřestanou s těmito pátečními pochody, dokud neuvidí snižování emisí skleníkových plynů, které způsobují změny klimatu.|human
In Nigeria's capital Abuja, Oladosu Adenike marked her 46th consecutive strike on Friday. The activist posted images on Twitter of students dressed in blue school uniforms carrying banners with messages, "Climate change is real" and "We don't have time."|V nigérijském hlavním městě Abuja oznámila aktivistka Oladosu Adenikeová již 46. páteční protestní akci v pořadí. Aktivista zveřejnila na Twitteru fotky studentů oblečených v modrých školních uniformách, kteří nesou transparenty se nápisy: „Změna klimatu je skutečná“ a „Nemáme moc času.“|human
In Lausanne, Switzerland, where hundreds of climate strike organizers gatheredin August planning for this week's events, thousands of people marched through the city, according to local reports.|Ve švýcarském Lausanne, kde se v srpnu shromáždily stovky organizátorů klimatických protestů, podle místních médií pochodovaly po městě tisíce lidí.|human
Thousands more were expected to take to the streets of Helsinki, Finland, where local media reportedthat the city's school would allow students to participate.|Očekávalo se, že tisíce dalších vyrazí do ulic Helsinek ve Finsku, kde škola umožní studentům zúčastnit se pochodu, jak uvedla místní média.|human
The Who STOP concert last night: Friday and Sunday shows CANCELLED|Hudební skupina Who včera večer ODVOLALA koncert: Páteční a nedělní představení ZRUŠENO|human
Rock legends The Who are on a major US tour. In Houston, Texas, Roger Daltrey was forced to call off the concert less than halfway through. The 75-year-old told the disappointed audience: "I think I should quit while I'm ahead." The band had performed eight songs already but promised to try and return for another show one day in the future. Watch the video of how it all unfolded on stage.|Rockové legendy z kapely The Who jsou na hlavním turné po Spojených státech. Ani ne v půlce cesty v texaském Houstonu však musel Roger Daltrey koncert odvolat. 75letý zpěvák vzkázal zklamanému publiku: „Myslím, že je na čase skončit.“ Kapela už odehrála osm písní, ale slíbila, že se v budoucnu pokusí vrátit s dalším představením. Koukněte se na video, jak se vše na pódiu odehrálo.|human
After playing classic 1982 track Eminence Front, Daltrey called it quits. he has struggled with vocal issues and apparently is under strict instructions from his surgeon.|Poté, co odehrál klasickou skladbu Eminence Front z roku 1982, se Daltrey rozhodl koncert ukončit. Má problémy s hlasem a zjevně se musí řídit přísnými pokyny svého lékaře.|human
The British star told the crowd he couldn't go on with the show: "If I carry on trying to do what I'm doing for you, I'm going to damage myself. I think I should quit while I'm ahead... Last time, I ended up in hospital for a month and I'm not going there again. Sorry."|Britská hvězda řekla davu fanoušků, že ve vystoupení nemůže pokračovat: „Pokud budu pokračovat v tom, co pro vás dělám, zničí mě to. ... Naposledy jsem skončil v nemocnici, kde jsem byl celý měsíc, a už tam nejdu. Je mi to líto.|human
Pete Townshend explained what was going on to the audience: "It sounds like he cannot do any more, I'm afraid..."|Pete Townshend vysvětlil publiku, co se děje: „Bohužel to vypadá, že už nemůže dělat víc...“|human
The band left the stage, originally suggesting they would try to work out the rest of the set without Roger.|Kapela opustila pódium a původně uvažovala, že by se pokusila dohrát zbytek koncertu bez Rogera.|human
When he returned, Townsend said: "I'm really, really sorry. Roger cannot actually speak now.|Když se Townsend vrátil na pódium, řekl: „Je mi to opravdu moc líto. Roger teď nemůže mluvit.|human
"Apparently, before the show, he saw a doctor, and you know, he's been singing so f***ing great through this tour. I don't know what the f*** is going on. He has been on top of his game.|„Zjevně před představením mluvil se svým doktorem, a vy víte, že na tomhle turné zpíval zatraceně dobře. Nevím, co se to k ***a děje. Byl na vrcholu svého vystoupení.|human
"I'm really sorry this has happened to you guys tonight... I don't think there is much point trying to put anything together that makes any sense because this is Roger's show and he's not in good shape."|„Opravdu mě moc mrzí, co se dneska večer stalo, kamarádi ... Nemyslím, že má smysl pokoušet se dát dohromady něco smysluplného, protože tohle je Rogerova show a ten není v dobré kondici.“|human
Townsend said; "We will publish a date for our return as soon as we can. Let me explain one thing... We only do one day on, one day off. This is because Roger's vocal surgeon insists he has a day off...|Townsend řekl; „Jakmile to půjde, zveřejníme datum našeho návratu. Chci vám vysvětlit jednu věc ... Děláme vždy jen jeden den a jeden den máme volno. Důvodem je, že Rogerův hlasový chirurg trvá na tom, aby dnes nepracoval ...“|human
"I swear to you we will come back and we will honour your tickets. I love you so much and I'm sorry to let you down."|„Slibuji vám, že se vrátíme a splníme to, co očekáváte za své peníze. Mám vás moc rád a je mi líto, že jsme vás tolik zklamali.“|human
Following the show, the upcoming Friday and Sunday night concerts in Dallas and Denver were cancelled.|Po představení byly zrušeny také nadcházející páteční a nedělní noční koncerty v Dallasu a Denveru.|human
Meghan to 'fulfil her heart's desires' and refuses let own needs 'fade away' amid her royal duties|Meghan „se řídí hlasem svého srdce“ a odmítá se „vzdát vlastního života“ kvůli svým královským povinnostem|human
"Currently we are targeting young people 18 to 24 years. For the young people that's the age bracket we are looking at but of course any one above 18 and it's because we do not have evidence of children by the Constitution but as more evidence unfolds we are going to get there. For the men, we give the kit to the mother and they take it to the partner, key and priority populations such sex workers," Mr Geoffrey Tasi, the technical officer-in-charge of HIV testing services, said yesterday.|„Aktuálně se zaměřujeme na mladé lidi ve věku 18 až 24 let. Mladí lidé spadají do věkové skupiny, na kterou cílíme přednostně, ale samozřejmě i starší 18 let, a to proto, že nemáme ze zákona povinnost vést evidenci dětí, nicméně postupnými úpravami legislativy k tomuto kroku spějeme. Co se týče mužů, dáváme testovací sadu matkám, které ji vezmou domů partnerovi, a vybraným skupinám populace, jako jsou sexuální pracovníci a pracovnice,“ uvedl včera Geoffrey Tasi, technický referent, který má na starosti agendu testování viru HIV.|human
Some competitors at the world athletics championships that began on Friday have already encountered their most challenging opponent: the sweltering Qatari heat.|Někteří soutěžící na mistrovství světa v atletice, které začalo v pátek, se již setkali se svým největším soupeřem: ohnivým katarským žárem.|human
With its suffocating humidity and daytime temperatures hovering around 38 degrees Celsius, Doha weather has been widely discussed among athletes and athletics officials and seen as a cause for concern in some events.|Díky dusné vlhkosti a denním teplotám, které se pohybují kolem 38 stupňů Celsia, je počasí v Dauhá předmětem velkých diskuzí mezi sportovci a funkcionáři atletiky a v některých případech je považováno dokonce za důvod k obavám.|human
Although the heat is less of a threat to the athletes competing inside the Khalifa International Stadium, where temperatures are kept at around 21 degrees with the help of a cooling system, they have still had to adjust their training because they practise at an outdoor facility.|I když je horko menší hrozbou pro sportovce, kteří soutěží uvnitř Chalífova mezinárodního stadionu, kde jsou teploty udržovány kolem 21 stupňů pomocí chladicího systému, také oni sportovci musejí přizpůsobit svůj trénink, protože cvičí na venkovních stadionech.|human
Athletics officials have pledged additional medical and safety measures for marathon runners and race walkers.|Atletičtí funkcionáři slíbili zavést další lékařská a bezpečnostní opatření závodníky maratonu a rychlochůze.|human
The IAAF, the global governing body of athletics, said the women's marathon, scheduled to start at midnight on Friday, would go ahead as planned as temperatures would be at or below 30 degrees.|IAAF, celosvětový dozorčí orgán pro atletiku, řekl, že ženský maraton, který má být zahájen v pátek o půlnoci, bude pokračovat podle plánu, protože teploty budou kolem 30 stupňů.|human
It said its medical delegate had assured athletes that weather conditions would be monitored all day and reported to the teams "to ensure the event is run at an acceptable level of health risk."|Uvedl, že jejich lékařský delegát ujistil sportovce, že po celý den budou monitorovány povětrnostní podmínky a oznámeny týmům „pro zajištění toho, aby závody probíhaly na úrovni přijatelného zdravotního rizika“.|human
Track athletes competing inside the stadium said it was unlikely that the heat would significantly affect their performances, but conceded that practices have been especially draining.|Atleti závodící na stadionu řekli, že je nepravděpodobné, že by teplo výrazně ovlivnilo jejich výkony, ale připustili, že tréninky jsou obzvláště vyčerpávající.|human
"At practice I'm glowing because I'm sweating because it's so humid," said Rai Benjamin, who competes in the 400m hurdles.|„Při tréninku mám návaly horka, protože se potím, když je tak vlhko,“ řekl Rai Benjamin, který soutěží v běhu na 400 metrů přes překážky.|human
European pole vault champion Armand Duplantis, who trains in the heat of the southern U.S. state of Louisiana, said the humidity can prove helpful in practice because the addition of moisture to the chalk on his hands "makes for a really nice grip."|Evropský šampion ve skoku o tyči Armand Duplantis, který trénuju v horkém jižním státu Louisiana v USA, řekl, že vlhkost se může v praxi ukázat jako užitečná, protože větší vlhkost v křídě na jeho rukách „přispívá k pohodlnému uchopení tyče“.|human
But other pole vaulters who spray a sticky grip enhancer on their hands might have more difficulty holding onto their poles in the humidity, he said.|Ale další sportovci ve skoku o tyči, kteří si na ruce stříkají lepkavé zesilovače přilnavosti, mohou mít větší potíže udržet tyče při zvýšené vlhkosti, řekl.|human
HMP Wandsworth called in police amid fears that duplicates had been sold to some of its 1,400 inmates.|Věznice Wandsworth zavolala policii kvůli obavě, že duplikáty byly prodány některým z jejích 1400 vězňů.|human
The suspected security breach will result in 3,000 locks replaced, potentially to cell, internal and outer doors.|Protože zde bylo podezření, že došlo k narušení bezpečnosti, proběhla výměna 3 000 zámků u vězeňských cel a vnitřních i vnějších dveří.|human
The police investigation has raised concerns that imprints of some of the keys may have been taken in clay before actual copies were produced.|Policejní vyšetřování vzbudilo také obavy, že otisky některých klíčů mohly být pořízeny v jílu před zhotovením skutečných kopií.|human
"Queer Eye" star Jonathan Van Ness strutted his stuff on Capitol Hill on Thursday, joining forces with House Speaker Nancy Pelosi (D-Calif.) to discuss the Equality Act.|Hvězda televizního programu „Queer Eye“ Jonathan Van Ness ve čtvrtek přišel se svými věcmi na Capitol Hill a sešel se s předsedkyní Sněmovny reprezentantů Nancy Pelosiovou (dep.Kalif.), aby společně projednali zákon o rovnosti.|human
He then shared a longer post picturing the two of them arm in arm, urging his followers to stand up to Senate Majority Leader Mitch McConnell (R-Ky.) and apply pressure to GOP senators to bring the Equality Act up for a Senate vote:|Poté sdílel delší příspěvek zobrazující oba, jak se drží za ruce, a naléhal na své stoupencey, aby se postavili před lídra většiny v senátu Mitche McConnella (Rep.-Ky.) a vyvinuli nátlak na senátory GOP, aby zákon o rovnosti prošel hlasováním v Senátu:|human
In August, the Trump administration asked the Supreme Court to essentially legalize anti-gay discrimination in the workplace, arguing in an amicus brief that the federal laws on employer discrimination in the Civil Rights Act of 1964 were not intended to protect individuals from being fired based on their sexual orientation.|V srpnu požádala Trumpova administrativa Nejvyšší soud, aby de facto legalizoval diskriminaci gayů na pracovišti, přičemž formou amicus brief tvrdila, že federální zákony o diskriminaci zaměstnavatelů v zákoně o občanských právech z roku 1964 neměly za cíl chránit jednotlivce před propuštěním kvůli jejich sexuální orientaci.|human
Pelosi met earlier this year with Van Ness and three of his "Queer Eye" co-stars as well as Rep. Alexandria Ocasio-Cortez (D-N.Y.), to talk policy and promote the bill.|Pelosiová se začátkem tohoto roku setkala s Van Nessem a třemi jeho hvězdnými kolegy z „Queer Eye“, a také s Alexandrem Ocasio-Cortezem (D-N.Y.), aby debatovali o politice a podpořili návrh zákona.|human
David Attenborough is 93-years-old but the iconic nature guru is not slowing down just yet.|Davidu Attenboroughovi je již 93 let, ale ikonický guru dokumentárních filmů o přírodě stále pracuje.|human
No, after the success of his groundbreaking Netflix documentary Our Planet, the much loved star is set to return with another series: Life In Colour.|Po prvním úspěšném dokumentu pro Netflix Naše planeta se oblíbený dokumentarista vrací s další sérií: Life In Colour.|human
This time, the father-of-two will look at how animals use colour in their lives through high-tech cameras that were built especially for the programme.|Tentokrát se otec dvou dětí zaměří na to, jak zvířata používají ve svém životě barvu, a to s pomocí kamer se špičkovou technologií, které byly vyvinuty speciálně pro tento pořad.|human
The BBC have revealed that the star aims to show "a world of colour normally invisible to human eyes" - and it sounds truly fascinating.|BBC prozradila, že cílem Attenborougha je ukázat „svět barev běžně neviditelný pro lidské oči“ – což je opravdu fascinující.|human
However, despite fans being eager for the upcoming release, it seems we all need to sit tight as it won't be dropping on our screens until 2021.|Přestože se fanoušci nemohou dočkat nadcházejícího vysílání, vypadá to, že budeme muset všichni ještě nějakou dobu vydržet, protože na televizní obrazovky se pořad dostane až v roce 2021.|human
But we're sure it'll be worth the wait.|Ale jsme si jistí, že čekání se vyplatí.|human
When collecting his gong, the reporter enthused: "Indeed. What I do isn't always entertaining, and sometimes people hear things they don't like!|Při přebírání ceny se neubránil dojetí: „Opravdu. To, co dělám, není vždycky zábava a někdy lidé slyší věci, které se jim nelíbí!“|human
"But this is an honour and a great pleasure."|„Ale tohle je pro mě pocta a velmi mě to těší.“|human
TV Choice said of the winner: "Still working, learning and making programmes Sir David Attenborough isn't just a British hero, he's a global icon."|Časopis TV Choice o něm řekl: „Stále pracuje, učí se a připravuje pořady – Sir David Attenborough není jen britským hrdinou, ale je globální ikonou.“|human
This week, David was celebrated once again as a polar research ship was named after him.|Tento týden byl David poctěn znovu, protože po něm byla pojmenována výzkumná polární loď.|human
The star joined both Prince William and Kate for the naming ceremony in Cammell Laird shipyard in Birkenhead, Merseyside.|Hvězdný dokumentarista se připojil k princi Williamovi a vévodkyni Kate na slavnostním ceremoniálu v loděnici Cammell Laird v Birkenhead, Merseyside.|human
He said: "It's no news to any of you that the world is facing great, great problems and the most aware of that are the young people of today, who will inherit this world.|Řekl: „Pro nikoho z vás není novinkou, že svět čelí mimořádným problémům a nejvíc si to uvědomují dnešní mladí lidé, kteří po nás tento svět zdědí.“|human
Brazil says oil in spill along northeast beaches not Brazilian|Brazílie říká, že ropa, která se vylila podél severovýchodních pláží, nepochází z Brazílie|human
Brazil's environmental agency Ibama said on Thursday that an analysis of a vast oil spill along the country's northeastern beaches showed the spilled crude did not originate in the country.|Brazilská agentura pro životní prostředí Ibama ve čtvrtek sdělila, že analýza obrovského úniku ropy podél severovýchodních pláží země ukázala, že uniklá ropa nepochází z Brazílie.|human
Ibama said in a statement that it had been investigating the spill in several beaches in some northeastern states since Sept. 2. Local media showed pictures of sea turtles coated in black tar by the slick.|Ibama ve svém prohlášení uvedla, že od 2. září zkoumala únik ropy na několika plážích v některých severovýchodních státech. Místní média otiskla fotografie mořských želv obalených černou hmotou.|human
The spill spans over 1,500 kilometers (932 miles) of Brazil's northeast coast, affecting wildlife and polluting some of the postcard beaches in one of the nation's top touristic destinations, such as Praia do Futuro, in the state of Ceara, and Maragogi, in Alagoas state.|Únik se vztahuje na oblast dlouhou přes 1500 kilometrů (932 mil) u brazilského severovýchodního pobřeží, ovlivňuje volně žijící zvířata a znečišťuje některé pláže známé z pohlednic v nejoblíbenějších turistických destinacích, jako je pláž Futuro ve státě Ceará nebo Maragogi ve státě Alagoas.|human
Brazil's state-controlled oil company Petroleo Brasileiro SA said in a statement that it had concluded after a molecular analysis of the oil that the crude spilled was not produced nor sold by the company.|Brazilská státem ovládaná ropná společnost Petroleo Brasileiro SA ve svém prohlášení uvedla, že po molekulární analýze ropy dospěla k závěru, že uniklou surovinu společnost nevyrábí ani neprodává.|human
