Why the Queen made an error of judgement on proroguing Parliament - Joyce McMillan|Почему королева допустила ошибку в вынесении решения о пророгации парламента - Joyce McMillan|mt
They said you have to do what you feel most comfortable for your health.|Они сказали, что ты должен делать то, что тебе удобнее всего для твоего здоровья.|mt
Despite the FDA announcing more research is needed on the subject of implants and its correlation to breast cancer, Shirley has decided not to take any chances and believes it has impacted her health negatively.|Несмотря на то, что FDA объявляет о необходимости дополнительных исследований по теме имплантатов и их корреляции с раком молочной железы, Ширли решила не рисковать и считает, что это негативно сказалось на ее здоровье.|mt
Despite the FDA announcing more research is needed on the subject of implants and its correlation to breast cancer, Shirley has decided not to take any chances and believes it has impacted her health negatively.|Несмотря на то, что управление по санитарному надзору за качеством пищевых продуктов и медикаментов объявило о необходимости проведения дополнительных исследований по вопросу имплантатов и их связи с раком молочной железы, Ширли решила не рисковать и считает, что это негативно повлияло на ее здоровье.|mt
Usually I don't get tired and I'm like an Energizer bunny.|Обычно я не устаю, и я как кролик от Energizer.|mt
Usually I don't get tired and I'm like an Energizer bunny.|Обычно я не устаю и веду себя как кролик-энерджайзер.|mt
Usually I don't get tired and I'm like an Energizer bunny.|Обычно я не устаю и я как зайка Энерджайзер.|mt
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.|Но если они удалят рубцовую ткань, это потребует более серьезной операции и, возможно, реконструкции.|mt
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.|Но если они извлекут рубцовую ткань, это повлечет за собой большую операцию и, возможно, реконструкцию.|mt
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.|Но если они уберут рубцовую ткань, это потребует более масштабной операции и, возможно, реконструкции.|mt
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.|Но если бы вытащили рубцовую ткань, это бы потребовало более масштабной операции и возможно реконструкции.|mt
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.|Но если они вынимают рубцовой ткани было бы включать больше хирургии и, возможно, реконструкция.|mt
But I don't want any implants in.|Но я не хочу никаких имплантатов.|mt
But I don't want any implants in.|Но я не хочу имплантатов.|mt
We have to take the necessary steps to ensure greater participation of girl students and of women in science and technology.|Мы должны предпринять необходимые шаги для обеспечения более широкого участия студенток и женщин в науке и технике.|mt
We have to take the necessary steps to ensure greater participation of girl students and of women in science and technology.|Мы должны предпринять необходимые шаги для обеспечения более широкого участия девочек и женщин в науке и технике.|mt
We have to take the necessary steps to ensure greater participation of girl students and of women in science and technology.|Мы должны принять необходимые меры для обеспечения более широкого участия девочек-студенток и женщин в научно-технической жизни.|mt
"None of our successes will have any meaning without equal opportunities for our girl-children," he added.|′′ Ни один из наших успехов не будет иметь никакого значения без равных возможностей для наших девочек,"-добавил он.|mt
"None of our successes will have any meaning without equal opportunities for our girl-children," he added.|"Ни один из наших успехов не будет иметь никакого значения без равных возможностей для наших девочек", - добавил он.|mt
Mr Kovind called upon the scientific community to take calculated risk.|Г-н Ковинд призвал научное сообщество принять расчетный риск.|mt
Mr Kovind called upon the scientific community to take calculated risk.|Господин Ковинд призвал научное сообщество пойти на просчитанный риск.|mt
Mr Kovind called upon the scientific community to take calculated risk.|Г-н Ковинд призвал научное сообщество идти на расчетный риск.|mt
There, he said, lies the possibility of developing truly transformative technologies and innovations.|В этом, по его словам, заключается возможность развития действительно преобразующих технологий и инноваций.|mt
There, he said, lies the possibility of developing truly transformative technologies and innovations.|Там, сказал он, кроется возможность развития действительно преобразующих технологий и инноваций.|mt
He said the academic, scientific institutions, industry and entrepreneurs must collaborate to ensure that scientific research can move from labs to industry, agricultural fields, incubation centres and start-ups.|Он сказал, что академические, научные учреждения, промышленные и предприниматели должны сотрудничать, чтобы научные исследования могли перейти от лабораторий к промышленности, сельскохозяйственным направлениям, инкубационным центрам и стартапам.|mt
He said the academic, scientific institutions, industry and entrepreneurs must collaborate to ensure that scientific research can move from labs to industry, agricultural fields, incubation centres and start-ups.|Он сказал, что академические, научные учреждения, промышленность и предприниматели должны сотрудничать, чтобы гарантировать, что научные исследования могут перейти от лабораторий к промышленности, сельскохозяйственным областям, инкубационным центрам и стартапам.|mt
He said the academic, scientific institutions, industry and entrepreneurs must collaborate to ensure that scientific research can move from labs to industry, agricultural fields, incubation centres and start-ups.|По его словам, академические, научные учреждения, промышленность и предприниматели должны сотрудничать, чтобы научные исследования могли переместиться из лабораторий в промышленность, сельскохозяйственные поля, инкубационные центры и стартапы.|mt
What transpires on screen is chilling, unnerving, completely compelling, anxiety-inducing, sleep-disturbing, and absolutely brilliant.|То, что происходит на экране - это расслабляющее, нервирующее, совершенно убедительное, вызывающее тревогу, тревожное сна и абсолютно гениальное.|mt
A special PMLA authority has confirmed the attachment of hotel Holiday Inn, worth over Rs 127 crore, located in the upscale Aerocity area in the national capital in connection with a money laundering case against alleged aviation lobbyist Deepak Talwar, the Enforcement Directorate said on Friday.|Особый орган PMLA подтвердил привязанность отеля Holiday Inn стоимостью более 127 рупий, расположенного в высококлассном районе аэросити в столице страны в связи с делом об отмывании денег против предполагаемого авиационного лоббиста Дипака Талвара, сообщили в Дирекции по исполнению Пятница.|mt
A special PMLA authority has confirmed the attachment of hotel Holiday Inn, worth over Rs 127 crore, located in the upscale Aerocity area in the national capital in connection with a money laundering case against alleged aviation lobbyist Deepak Talwar, the Enforcement Directorate said on Friday.|Специальный орган PMLA подтвердил факт вложения отеля Holiday Inn стоимостью более 127 крор, расположенного в престижном районе Aerocity в столице страны, в связи с делом об отмывании денег против предполагаемого лоббиста авиации Дипака Талвара, говорится в сообщении Управления по защите прав человека в пятницу.|mt
A special PMLA authority has confirmed the attachment of hotel Holiday Inn, worth over Rs 127 crore, located in the upscale Aerocity area in the national capital in connection with a money laundering case against alleged aviation lobbyist Deepak Talwar, the Enforcement Directorate said on Friday.|Специальный орган PMLA подтвердил арест отеля Holiday Inn стоимостью более 127 крор, расположенного в престижном районе Аэросити в национальной столице в связи с делом об отмывании денег против предполагаемого авиационного лоббиста Дипака Талвара, сообщило в пятницу Управление по исполнению законов.|mt
This alleged tainted money was used to construct hotel Holiday Inn, next to the Indira Gandhi International Airport, the ED charged.|Эти предполагаемые запятнанные деньги использовались для строительства отеля Holiday Inn, рядом с международным аэропортом Индиры Ганди, взимается ED.|mt
This alleged tainted money was used to construct hotel Holiday Inn, next to the Indira Gandhi International Airport, the ED charged.|Эти предположительно испорченные деньги были использованы для строительства отеля Holiday Inn рядом с международным аэропортом имени Индиры Ганди.|mt
This alleged tainted money was used to construct hotel Holiday Inn, next to the Indira Gandhi International Airport, the ED charged.|Эти якобы испорченные деньги были использованы для строительства отеля Holiday Inn, расположенного рядом с Международным аэропортом имени Индиры Ганди, сообщает ED.|mt
Parents Arrested In Suspicious Death Of 4-Year-Old Palmdale Boy Noah Cuatro - CBS Los Angeles|Родители арестованы в подозрительной смерти 4-летнего мальчика Палмдейла Ноа Куатро - CBS Лос-Анджелес|mt
"DCFS has blood on its hands," said Hernandez's attorney Brian Claypool.|′′ У ДКФС кровь на руках,"-заявил адвокат Эрнандеса Брайан Клейпул.|mt
"He begged me, "grandma, let me stay, don't do this to me, don't send me back,"" Hernandez said.|«Он умолял меня,« бабушка, позволь мне остаться, не делай этого со мной, не отсылай меня назад », - сказал Эрнандес.|mt
"He begged me, "grandma, let me stay, don't do this to me, don't send me back,"" Hernandez said.|′′ Он умолял меня,"" Бабушка, дай мне остаться, не делай так со мной, не отправляй меня обратно,""-сказал Эрнандес.|mt
Babies living in areas with high levels of air pollution have a greater risk of death than those surrounded by cleaner air, a study has found.|Исследование показало, что дети, живущие в районах с высоким уровнем загрязнения воздуха, подвержены большему риску смерти, чем дети, окруженные чистым воздухом.|mt
Babies living in areas with high levels of air pollution have a greater risk of death than those surrounded by cleaner air, a study has found.|У малышей, живущих в районах с высоким уровнем загрязнения воздуха, больше риска смерти, чем у окружающих более чистым воздухом, выяснилось исследование.|mt
Kotecha said the research was based on data for almost 8 million live births in England and Wales between 2001 and 2012.|Котеча заявил, что исследование было основано на данных почти 8 миллионов живорождений в Англии и Уэльсе в период с 2001 по 2012. год.|mt
Kotecha said the research was based on data for almost 8 million live births in England and Wales between 2001 and 2012.|По словам Котечи, исследование было основано на данных о почти 8 миллионах живорождений в Англии и Уэльсе в период с 2001 по 2012 год.|mt
These were particulate matter known as PM10, which comes from sources including vehicles and waste incineration, nitrogen dioxide (NO2), and sulphur dioxide (SO2), which is released through burning of fossil fuels in power stations and refineries as well as metal extraction.|Речь идет о твердых частицах, известных как ТЧ10, которые поступают из источников, включая транспортные средства и сжигание отходов, диоксид азота (NO2), и диоксид серы (SO2), который выделяется путем сжигания ископаемого топлива на электростанциях и НПЗ, а также добычу металлов.|mt
The results held across all three pollutants, with the odds of death 7% worse for NO2, 4% worse for PM10 and 19% worse for SO2.|Результаты по всем трем загрязнителям, а шансы смерти на 7 % хуже для NO2, на 4 % хуже для ТЧ10 и на 19 % хуже для SO2.|mt
The results held across all three pollutants, with the odds of death 7% worse for NO2, 4% worse for PM10 and 19% worse for SO2.|Результаты были получены по всем трем загрязняющим веществам, с вероятностью смерти на 7% хуже для NO2, на 4% хуже для PM10 и на 19% хуже для SO2.|mt
Further analysis suggested that of the three pollutants, only SO2 was associated with deaths within a baby's first 28 days.|Дальнейший анализ показал, что из трех загрязнителей только SO2 был связан со смертями в течение первых 28 дней ребенка.|mt
Further analysis suggested that of the three pollutants, only SO2 was associated with deaths within a baby's first 28 days.|Дальнейший анализ показал, что из трех загрязнителей только SO2 был связан со смертью в течение первых 28 дней ребенка.|mt
The study was unable to prove whether high levels of air pollution were to blame for the increased risk of death in those areas.|Исследование не смогло доказать, виноваты ли высокие уровни загрязнения воздуха в повышенном риске смерти в этих районах.|mt
Prof Mireille Toledano, an expert in population child health at Imperial College London, said the study confirmed that air pollution is a major public health hazard, adding that current standards are failing to protect people.|Профессор Мирей Толедано, эксперт по вопросам детского здоровья населения в Лондоне Императорском колледже, заявил, что загрязнение воздуха является серьезной опасностью для здоровья населения, добавив, что нынешние стандарты не защищают людей.|mt
Prof Mireille Toledano, an expert in population child health at Imperial College London, said the study confirmed that air pollution is a major public health hazard, adding that current standards are failing to protect people.|Профессор Мирей Толедано, эксперт по вопросам здоровья детей в Имперском колледже Лондона, сказала, что исследование подтвердило, что загрязнение воздуха представляет собой серьезную опасность для общественного здравоохранения, добавив, что действующие стандарты не защищают людей.|mt
It looked at average pollution levels over relatively large areas while in reality levels can vary greatly over a small distance - meaning the babies' true exposure was not captured.|В нем рассматривались средние уровни загрязнения на относительно больших территориях, в то время как в действительности уровни могут сильно различаться на небольшом расстоянии - это означает, что истинное воздействие на детей не было зафиксировано.|mt
It looked at average pollution levels over relatively large areas while in reality levels can vary greatly over a small distance - meaning the babies' true exposure was not captured.|В нем рассматривались средние уровни загрязнения на относительно больших территориях, а в реальности уровни могут сильно отличаться на небольшом расстоянии - значит, реальное воздействие малышей не было захвачено.|mt
"It is showing there is some kind of additional risk from air pollution for infant death but the way that it has been set up is quite a crude analysis," said Toledano.|«Это показывает, что существует какой-то дополнительный риск загрязнения воздуха для младенческой смерти, но способ его установления - довольно грубый анализ», - сказал Толедано.|mt
"It is showing there is some kind of additional risk from air pollution for infant death but the way that it has been set up is quite a crude analysis," said Toledano.|′′ Показано, что есть какой-то дополнительный риск от загрязнения воздуха в связи с младенческой смертью, но то, как он был создан, довольно грубый анализ,"-сказал Толедано.|mt
A second study found that exposure to PM10 from traffic during pregnancy and children's early life was linked to a slightly lower lung function of the children at eight years old - although the effect was no longer seen by the time the children were 15.|Второе исследование показало, что воздействие ТЧ10 от трафика в период беременности и ранней жизни детей связано с чуть более низкой функцией легких детей в восьмилетнем возрасте - хотя эффект больше не наблюдался к 15. годам.|mt
Although not all the money distributed under the deal will be spent in Asia, the EU's new agenda makes spending on infrastructure links with Asia official EU policy, which also involves the bloc's common budget.|Хотя не все деньги, распределенные по сделке, будут потрачены в Азии, новая повестка дня ЕС предусматривает расходы на инфраструктурные связи с официальной политикой ЕС в Азии, которая также включает общий бюджет блока.|mt
Although not all the money distributed under the deal will be spent in Asia, the EU's new agenda makes spending on infrastructure links with Asia official EU policy, which also involves the bloc's common budget.|Несмотря на то, что не все деньги, распределенные по сделке, будут потрачены в Азии, новая повестка дня ЕС делает расходы на инфраструктурные связи с официальной политикой ЕС в Азии, которая также включает общий бюджет блока.|mt
Muslim Woman Says Company Didn't Hire Her As She Wanted To Pray At Work|Мусульманка говорит, что компания не нанимала ее, так как она хотела молиться на работе|mt
Muslim Woman Says Company Didn't Hire Her As She Wanted To Pray At Work|Мусульманка говорит, что компания не нанимала ее, как она хотела молиться на работе|mt
Muslim Woman Says Company Didn't Hire Her As She Wanted To Pray At Work|Мусульманка говорит , что компания не наняла ее , так как она хотела молиться на работе|mt
Muslim Woman Says Company Didn't Hire Her As She Wanted To Pray At Work|Мусульманка говорит, что компания не нанимала ее так, как она хотела молиться на работе|mt
Muslim Woman Says Company Didn't Hire Her As She Wanted To Pray At Work|Мусульманка говорит, что компания не наняла ее, как она хотела молиться на работе|mt
Shahin Indorewala is suing the firm, claiming that she was discriminated against.|Шахин Индоревала подала в суд на фирму, утверждая, что ее дискриминировали.|mt
Shahin Indorewala is suing the firm, claiming that she was discriminated against.|Шахин Индоревала подает в суд на фирму, утверждая, что она подверглась дискриминации.|mt
Shahin Indorewala is suing the firm, claiming that she was discriminated against.|Шахин Индоревала судится с фирмой, утверждая, что она подверглась дискриминации.|mt
So she applied to Fast Trak Management, a small company that bills itself as "the number 1 marketing firm in the Northern Virginia Area."|Таким образом, она обратилась в Fast Trak Management, небольшую компанию, которая считает себя "маркетинговой фирмой номер 1 в Северной Вирджинии".|mt
So she applied to Fast Trak Management, a small company that bills itself as "the number 1 marketing firm in the Northern Virginia Area."|Таким образом, она обратилась к Fast Trak Management, небольшой компании, которая позиционирует себя как "номер 1 маркетинговой фирмы в Северной Вирджинии района".|mt
So she applied to Fast Trak Management, a small company that bills itself as "the number 1 marketing firm in the Northern Virginia Area."|Так она обратилась в Fast Trak Management, маленькую компанию, которая выставила себя как ′′ маркетинговая фирма номер 1 в районе Северной Вирджинии."|mt
So she applied to Fast Trak Management, a small company that bills itself as "the number 1 marketing firm in the Northern Virginia Area."|Поэтому она обратилась в Fast Trak Management, небольшую компанию, которая позиционирует себя как "маркетинговая фирма номер 1 в Северной Вирджинии"."|mt
Now, Indorewala is suing the company, claiming that she was discriminated against because of her religion when she asked to use break time to pray.|Теперь Индоревала подает в суд на компанию, утверждая, что она подверглась дискриминации из-за своей религии, когда попросила использовать перерыв для молитвы.|mt
Now, Indorewala is suing the company, claiming that she was discriminated against because of her religion when she asked to use break time to pray.|Теперь Индоревала подала в суд на компанию, утверждая, что ее дискриминировали из-за религии, когда она попросила использовать время перерыва, чтобы молиться.|mt
The Council on American-Islamic Relations, which brought the lawsuit on Indorewala's behalf, held a brief news conference outside Fast Trak's Falls Church office on Wednesday, when CAIR labeled Fast Trak "a company that disregarded federal law and chose not to hire her because of her faith."|Совет по американо-исламским отношениям, который подал иск от имени Indorewala, провел краткую пресс-конференцию возле офиса Fast Trak 's Falls Church в среду, когда CAIR назвала Fast Trak "компанией, которая проигнорировала федеральный закон и решила не нанимать ее из-за своей веры".|mt
The Council on American-Islamic Relations, which brought the lawsuit on Indorewala's behalf, held a brief news conference outside Fast Trak's Falls Church office on Wednesday, when CAIR labeled Fast Trak "a company that disregarded federal law and chose not to hire her because of her faith."|Совет по американо-исламским отношениям, который подал иск от имени Индоревалы, провел короткую пресс-конференцию перед офисом Fast Trak в Фоллс-Черче в среду, когда КЭЙР назвала Fast Trak "компанией, которая пренебрегла Федеральным законом и решила не нанимать ее из-за ее веры."|mt
The Council on American-Islamic Relations, which brought the lawsuit on Indorewala's behalf, held a brief news conference outside Fast Trak's Falls Church office on Wednesday, when CAIR labeled Fast Trak "a company that disregarded federal law and chose not to hire her because of her faith."|Совет по американско-исламским отношениям, который подал иск от имени Индоревала, провел краткую пресс-конференцию возле офиса Fast Trak ' s Falls Church в среду, когда CAIR назвал компанию Fast Trak ′′ которая игнорировала федеральный закон и решила не принимать ее на работу из-за ее веры."|mt
The Council on American-Islamic Relations, which brought the lawsuit on Indorewala's behalf, held a brief news conference outside Fast Trak's Falls Church office on Wednesday, when CAIR labeled Fast Trak "a company that disregarded federal law and chose not to hire her because of her faith."|Совет по американо-исламским отношениям, который подал иск от имени Индоревала, провел краткую пресс-конференцию возле офиса Fast Trak's Falls Church в среду, когда CAIR назвал Fast Trak «компанией, которая проигнорировала федеральный закон и решила не нанимать ее из-за своей веры».|mt
The Council on American-Islamic Relations, which brought the lawsuit on Indorewala's behalf, held a brief news conference outside Fast Trak's Falls Church office on Wednesday, when CAIR labeled Fast Trak "a company that disregarded federal law and chose not to hire her because of her faith."|Совет по американо-исламским отношениям, который подал иск от имени Индоревалы, провел короткую пресс-конференцию у офиса церкви Fast Trak's Falls в среду, когда CAIR назвала Fast Trak "компанией, которая пренебрегла федеральным законодательством и решила не нанимать ее из-за ее веры".|mt
In a video of the news conference, Indorewala said that her first interview went well, and that she was asked to return for a second interview.|В видео с пресс-конференции Индоревала сказала, что ее первое интервью прошло хорошо, и что ее попросили вернуться на второе интервью.|mt
In a video of the news conference, Indorewala said that her first interview went well, and that she was asked to return for a second interview.|В видеозаписи пресс-конференции Индоревала сказала, что ее первое интервью прошло хорошо, и что ее попросили вернуться для второго интервью.|mt
In a video of the news conference, Indorewala said that her first interview went well, and that she was asked to return for a second interview.|В видеозаписи пресс-конференции Индоревала сказала, что ее первое интервью прошло хорошо, и что ее попросили вернуться на второе интервью.|mt
In a video of the news conference, Indorewala said that her first interview went well, and that she was asked to return for a second interview.|В видео пресс-конференции Индоревала сказала, что первое интервью прошло хорошо, и что ее попросили вернуться на второе интервью.|mt
At that interview, Indorewala said, an assistant manager at Fast Trak told her that the company offers a long lunch break.|На этом интервью Индоревала сказала, что помощник менеджера Fast Trak сказал ей, что компания предлагает долгий перерыв на обед.|mt
At that interview, Indorewala said, an assistant manager at Fast Trak told her that the company offers a long lunch break.|На этом интервью, по словам Индоревала, помощник менеджера в Fast Trak сказал ей, что компания предлагает длительный обеденный перерыв.|mt
At that interview, Indorewala said, an assistant manager at Fast Trak told her that the company offers a long lunch break.|На этом интервью, Indorewala сказал, помощник менеджера в Fast Trak сказал ей, что компания предлагает длительный обеденный перерыв.|mt
At that interview, Indorewala said, an assistant manager at Fast Trak told her that the company offers a long lunch break.|Во время этого интервью, сказал Индоревала, помощник менеджера в Fast Trak сказал ей, что компания предлагает длинный обеденный перерыв.|mt
Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.|Индоревала спросила, может ли она взять более короткий обеденный перерыв, чтобы она могла сделать два пятиминутных перерыва во время рабочего дня, чтобы помолиться.|mt
Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.|Индоревала спросила, может ли она сделать более короткий перерыв на обед, чтобы сделать два пятиминутных перерыва во время рабочего дня, чтобы помолиться.|mt
Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.|Индодевала спросила, может ли она сделать более короткий обеденный перерыв, чтобы она могла взять два пятиминутных перерыва в течение рабочего дня, чтобы помолиться.|mt
Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.|Индоревала спросила, может ли она сделать более короткий обеденный перерыв, чтобы она могла сделать два пятиминутных перерыва в течение рабочего дня, чтобы помолиться.|mt
Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.|Индоревала спросил, нельзя ли ей сделать перерыв на обед покороче, чтобы в течение рабочего дня сделать два пятиминутных перерыва на молитву.|mt
According to the lawsuit, the assistant manager then allegedly walked with Indorewala to Gavilondo, and said that the job's hours wouldn't work for Indorewala.|Согласно иску, помощник менеджера затем якобы ходил с Indorewala в Gavilondo, и сказал, что часы работы не будет работать на Indorewala.|mt
According to the lawsuit, the assistant manager then allegedly walked with Indorewala to Gavilondo, and said that the job's hours wouldn't work for Indorewala.|Согласно иску, помощник менеджера затем якобы гулял с Indorewala в Gavilondo и сказал, что часы работы не будут работать на Indorewala.|mt
According to the lawsuit, the assistant manager then allegedly walked with Indorewala to Gavilondo, and said that the job's hours wouldn't work for Indorewala.|Согласно иску, помощник менеджера затем якобы пошел с Индоревалой в Гавилондо и сказал, что часы работы не будут работать для Индоревалы.|mt
According to the lawsuit, the assistant manager then allegedly walked with Indorewala to Gavilondo, and said that the job's hours wouldn't work for Indorewala.|По иску, помощник менеджера тогда якобы гулял с Индоревала до Гавилондо, и сказал, что часы работы не будут работать на Индоревала.|mt
"Am I really being made fun of for my religion in public in what's supposed to be a professional workplace? . . .|"Я действительно высмеиваюсь за свою религию на публике в том, что должно быть профессиональным рабочим местом?|mt
"Am I really being made fun of for my religion in public in what's supposed to be a professional workplace? . . .|-Неужели меня действительно высмеивают за мою религию на публике в том, что должно быть профессиональным рабочим местом? . . .|mt
"Am I really being made fun of for my religion in public in what's supposed to be a professional workplace? . . .|"Я действительно высмеивали для моей религии в общественных местах в том, что должно быть профессиональным рабочим местом? . . .|mt
"Am I really being made fun of for my religion in public in what's supposed to be a professional workplace? . . .|′′ Над моей религией действительно смеются надо мной на публике, что должно быть профессиональное рабочее место? С днем рождения.. Я не знаю.|mt
Clearly I was being discriminated against because of my religion," Indorewala said at the news conference.|Ясно, что меня подвергали дискриминации из-за моей религии », - сказал Индоревала на пресс-конференции.|mt
Clearly I was being discriminated against because of my religion," Indorewala said at the news conference.|Ясно, что меня дискриминировали из-за моей религии,"-сказала Индоревала на пресс-конференции.|mt
Clearly I was being discriminated against because of my religion," Indorewala said at the news conference.|Ясно , что меня подвергали дискриминации из-за моей религии » , - сказал Индоревала на пресс-конференции .|mt
Clearly I was being discriminated against because of my religion," Indorewala said at the news conference.|Очевидно, что меня дискриминировали из-за моей религии", - сказал Индоревала на пресс-конференции.|mt
I just kind of quietly left the office.|Я вроде как тихо вышел из офиса.|mt
I just kind of quietly left the office.|Я просто тихо вышел из офиса.|mt
Reached by phone on Thursday, Gavilondo said he didn't reject Indorewala's application; instead, he said, she was the one who decided she did not want the job.|Достигнутый по телефону в четверг, Гавилондо сказал, что он не отвергает заявление Indorewala; вместо этого, по его словам, она была той, кто решил, что она не хочет работу.|mt
Reached by phone on Thursday, Gavilondo said he didn't reject Indorewala's application; instead, he said, she was the one who decided she did not want the job.|Гавилондо дозвонился по телефону в четверг, сказал, что не отвергал заявление Индоревала; вместо этого он сказал, что она решила, что не хочет эту работу.|mt
Reached by phone on Thursday, Gavilondo said he didn't reject Indorewala's application; instead, he said, she was the one who decided she did not want the job.|Позвонив в четверг по телефону, Гавилондо сказал, что не отклоняет заявление Индоревалы; вместо этого он сказал, что именно она решила, что не хочет работать.|mt
Reached by phone on Thursday, Gavilondo said he didn't reject Indorewala's application; instead, he said, she was the one who decided she did not want the job.|Достигнутый по телефону в четверг, Гавилондо сказал, что он не отклонил заявление Indorewala; вместо этого, по его словам, она была той, кто решил, что она не хочет работу.|mt
They didn't want to work here. . . .|Они не хотели здесь работать...|mt
They didn't want to work here. . . .|Они не хотели здесь работать.|mt
They didn't want to work here. . . .|Они не хотели здесь работать. С днем рождения.. Я не знаю.|mt
They didn't want to work here. . . .|Они не хотели здесь работать. . . .|mt
He said he recalled that Indorewala brought up her Muslim faith, but he did not specifically recall her request for five-minute prayer breaks during the day.|Он сказал, что помнит, как Индоревала воспитывала свою мусульманскую веру, но он не помнит конкретно ее просьбу о пятиминутных молитвенных перерывах в течение дня.|mt
He said he recalled that Indorewala brought up her Muslim faith, but he did not specifically recall her request for five-minute prayer breaks during the day.|Он сказал, что напомнил, что Индоревала воспитывала свою мусульманскую веру, но он не напомнил конкретно о ее просьбе о пятиминутных молитвенных перерывах в течение дня.|mt
He said he recalled that Indorewala brought up her Muslim faith, but he did not specifically recall her request for five-minute prayer breaks during the day.|Он сказал, что вспоминает, что Индоревала подняла свою мусульманскую веру, но он конкретно не вспомнил ее просьбу о пятиминутных молитвенных перерывах в течение дня.|mt
He said he recalled that Indorewala brought up her Muslim faith, but he did not specifically recall her request for five-minute prayer breaks during the day.|Он сказал, что напомнил, что Индоревала воспитала свою мусульманскую веру, но он специально не вспоминал о ее просьбе пятиминутных молитвенных перерывов в течение дня.|mt
